Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Class
0.304294386,0.735132521,0.408991974,-0.714850411,-1.479803987,R5
-1.462338449,0.987431184,-1.366369186,0.12643714,1.21584679,R5
-1.511711529,1.144819346,-0.707759338,1.878299171,-0.538502795,R5
-1.294080287,-1.221006934,-0.939202812,-0.200972906,-1.533885137,R5
0.625629111,0.147997575,-1.468958349,0.045857439,2.298251316,R5
0.451912101,0.197468172,-0.14091074,1.001691221,0.841981442,R5
-1.194664742,0.849780158,0.511821931,0.799747351,-0.041680758,R5
-1.557703413,0.731852799,0.613539447,0.859707202,0.264536083,R5
-2.023838425,0.194784978,-2.019963587,0.188755658,0.449265411,R5
-3.146530068,0.256184011,0.936629609,0.787402307,-0.967180709,R5
-1.639900749,-0.223411266,0.965711691,-1.563436949,-1.828266039,R5
-0.854127195,-1.110010715,-0.116378582,-1.380922421,2.456549189,R5
-2.038742028,0.870556104,1.387611034,0.260298518,-0.919548431,R5
-1.97194193,0.359672427,0.242923553,1.265581996,-0.232598664,R5
-0.027173785,2.110476439,-0.447735922,0.048462835,0.538280505,R5
0.065856199,0.449438877,-0.698038734,1.267629354,0.349485542,R5
0.196050145,0.682085554,-0.488556678,0.633604169,1.109570287,R5
-1.219507271,-0.842856191,-0.373235649,0.207367214,0.112918617,R5
-0.039691289,-0.294627388,0.058424412,0.03392768,1.316368675,R5
-1.234283468,0.703592985,-0.559590807,0.479977649,0.035298628,R5
-1.077579378,0.093495021,0.744131241,0.034850209,1.045216961,R5
-0.510860117,0.593271128,2.162162118,0.145440593,1.27570215,R5
3.808023088,3.754748867,-1.708971151,1.227370165,-2.419060553,X4
3.886375134,3.449699884,-1.057110127,1.004806445,-1.914101386,X4
1.34314421,3.017410301,-1.789843607,1.978567694,-0.398948437,X4
4.199185304,4.034272383,-1.532985606,0.096986531,-1.501885881,X4
3.866487351,4.14328165,-1.854635406,0.366219862,-1.7108111,X4
4.8183852,2.556603987,-0.436610691,0.461139434,-0.548163533,X4
0.254903987,-1.230480924,-0.013481364,-0.140318691,1.630718382,X4
0.118087679,-1.313964725,-0.519678133,0.943395332,0.417509763,X4
0.392299972,-1.074282624,-2.129588748,-0.921283637,2.600780432,X4
-0.42109915,-0.877726238,-1.84758372,-0.907320421,2.230522974,X4
1.783922728,0.191243944,0.351452123,-1.239103255,-0.017577474,X4
0.476939846,-1.21336315,-0.96638934,0.532396549,0.899001486,X4
0.842534726,-0.095754837,0.296455612,0.317441769,1.41766517,X4
0.970523606,0.38780033,0.633457151,-1.22514004,-0.387834933,X4
0.685435724,-0.388827984,-1.455509317,0.197578484,1.291730301,X4
2.857464671,-2.288142618,-1.665563247,1.26968474,-0.422304589,X4
3.68259774,-1.78099447,-1.03968344,1.717229705,0.120166468,X4
0.762027728,-0.436734836,1.122577128,-0.890321975,-0.780563748,X4
2.12197715,-1.764981221,-1.327808961,0.843143719,0.145289616,X4
1.08824128,-0.58192714,-1.101690938,-1.749119996,-0.342567378,X4
1.33165433,-1.475767979,-0.851173584,1.581615773,-0.645007766,X4
2.058401302,-3.006381414,-1.793314827,0.793097004,-0.282049561,X4
0.029135604,0.100801549,0.578460639,0.331404984,1.047407712,X4
2.935376272,-1.961537607,-1.609813989,0.829180503,0.515547075,X4
3.059173634,-2.162184502,0.356143096,1.974781905,-0.238307468,X4
3.995271061,-4.394746401,2.755965649,-0.128812435,-1.691305177,X4
4.429262935,-1.163862968,3.169896604,-2.272985313,0.074727841,X4
2.975674479,-2.040974794,1.299641437,0.512855646,-1.718193902,X4
5.360013083,1.899366553,4.403932452,-1.467280113,1.75304364,X4
3.637866868,-1.465967054,-2.970523704,-0.362729907,-0.280732523,X4
2.841701741,-1.427726947,-1.862116621,0.192653741,1.668471419,X4
1.251237581,-1.203631455,3.760280799,-1.649747605,-2.055175143,X4
5.22675278,-0.543491583,2.242574631,0.291937321,-0.748046942,X4
1.277462163,-2.812769167,-1.658851519,-0.516028169,0.75074885,X4
2.833163227,0.2479952,1.718921758,-0.61605555,-0.321633574,X4
2.322745913,-0.771421579,-1.321538107,1.505458971,-0.596514408,X4
4.998370109,0.446728997,2.421982445,1.224130787,0.432300498,X4
2.357796219,-1.536183301,1.255860334,0.816968268,1.106696333,X4
0.857078138,1.367988454,0.303509602,-2.011528276,2.858909712,X4
1.77050604,1.280075505,-0.226955462,-1.245662815,2.67836285,X4
